window,strat,net,cagr,maxdd,final,trades_yr,invested
full,SPY,False,13.8,-33.7,154716,0.1,100
full,SPY,True,11.8,-33.7,123504,0.1,100
full,QQQ,False,18.96,-35.1,271622,0.1,100
full,QQQ,True,16.62,-35.1,211160,0.1,100
full,EW,False,16.73,-37.8,213578,945.7,100
full,M1,False,34.24,-43.7,1258473,138.9,100
full,M1,True,25.05,-43.8,511938,156.2,100
full,M2,False,30.81,-40.9,906335,79.0,100
full,M2,True,23.59,-42.4,440998,96.3,100
full,M3,False,23.93,-35.9,456665,147.0,84
full,M3,True,16.07,-38.2,198719,162.8,84
full,T1,False,8.04,-26.5,80030,3.9,84
full,T1,True,6.02,-30.5,63029,4.3,84
full,T2,False,15.14,-28.6,179453,2.6,84
full,T2,True,11.8,-30.3,123491,3.4,84
2014-2020,SPY,False,12.94,-33.7,70277,0.1,100
2014-2020,SPY,True,10.47,-33.7,60191,0.1,100
2014-2020,QQQ,False,21.24,-28.6,115409,0.1,100
2014-2020,QQQ,True,17.74,-28.6,94032,0.1,100
2014-2020,EW,False,16.69,-37.8,88308,869.0,100
2014-2020,M1,False,25.52,-43.7,147086,152.1,100
2014-2020,M1,True,16.29,-43.8,86202,169.3,100
2014-2020,M2,False,21.88,-40.9,119765,83.8,100
2014-2020,M2,True,14.97,-42.4,79606,100.9,100
2014-2020,M3,False,19.66,-32.8,105260,155.2,86
2014-2020,M3,True,11.33,-38.2,63562,166.7,86
2014-2020,T1,False,7.7,-20.9,50416,3.6,86
2014-2020,T1,True,5.7,-25.6,44202,3.9,86
2014-2020,T2,False,14.76,-28.6,78611,3.0,88
2014-2020,T2,True,11.28,-30.3,63373,3.6,88
2021-2026,SPY,False,15.17,-24.5,66957,0.2,100
2021-2026,SPY,True,12.2,-24.5,57703,0.2,100
2021-2026,QQQ,False,16.54,-35.1,71618,0.2,100
2021-2026,QQQ,True,13.36,-35.1,61197,0.2,100
2021-2026,EW,False,17.1,-19.8,73595,956.9,100
2021-2026,M1,False,45.82,-39.8,255970,124.9,100
2021-2026,M1,True,34.33,-40.0,160527,142.5,100
2021-2026,M2,False,43.04,-38.5,229464,74.2,100
2021-2026,M2,True,33.65,-38.7,155966,91.8,100
2021-2026,M3,False,29.22,-35.9,128773,139.3,81
2021-2026,M3,True,19.83,-35.9,83873,160.5,81
2021-2026,T1,False,8.73,-26.5,48279,4.4,81
2021-2026,T1,True,6.59,-28.3,43122,4.9,81
2021-2026,T2,False,15.92,-15.5,69464,2.3,78
2021-2026,T2,True,12.43,-19.0,58384,3.2,78
