window,strat,net,cagr,maxdd,final,trades_yr,invested
full,SPY,False,13.8,-33.7,154716,0.1,100
full,SPY,True,11.8,-33.7,123504,0.1,100
full,QQQ,False,18.96,-35.1,271622,0.1,100
full,QQQ,True,16.62,-35.1,211160,0.1,100
full,EW,False,11.68,-38.9,121899,843.7,100
full,M1,False,17.11,-38.7,222527,158.2,100
full,M1,True,9.71,-45.0,97292,172.4,100
full,M2,False,17.39,-37.4,229480,88.6,100
full,M2,True,11.78,-44.6,123205,102.8,100
full,M3,False,7.51,-35.4,75172,160.6,84
full,M3,True,1.16,-44.0,34729,168.5,84
full,T1,False,8.04,-26.5,80030,3.9,84
full,T1,True,6.02,-30.5,63029,4.3,84
full,T2,False,15.14,-28.6,179453,2.6,84
full,T2,True,11.8,-30.3,123491,3.4,84
2014-2020,SPY,False,12.94,-33.7,70277,0.1,100
2014-2020,SPY,True,10.47,-33.7,60191,0.1,100
2014-2020,QQQ,False,21.24,-28.6,115409,0.1,100
2014-2020,QQQ,True,17.74,-28.6,94032,0.1,100
2014-2020,EW,False,11.42,-38.9,63929,728.6,100
2014-2020,M1,False,11.53,-38.7,64371,170.1,100
2014-2020,M1,True,4.43,-45.0,40619,181.6,100
2014-2020,M2,False,11.98,-37.4,66205,94.1,100
2014-2020,M2,True,6.77,-44.6,47428,105.5,100
2014-2020,M3,False,6.43,-31.9,46406,168.4,86
2014-2020,M3,True,0.14,-39.3,30302,174.1,86
2014-2020,T1,False,7.7,-20.9,50416,3.6,86
2014-2020,T1,True,5.7,-25.6,44202,3.9,86
2014-2020,T2,False,14.76,-28.6,78611,3.0,88
2014-2020,T2,True,11.28,-30.3,63373,3.6,88
2021-2026,SPY,False,15.17,-24.5,66957,0.2,100
2021-2026,SPY,True,12.2,-24.5,57703,0.2,100
2021-2026,QQQ,False,16.54,-35.1,71618,0.2,100
2021-2026,QQQ,True,13.36,-35.1,61197,0.2,100
2021-2026,EW,False,12.34,-21.0,58130,910.5,100
2021-2026,M1,False,24.72,-36.0,105312,145.3,100
2021-2026,M1,True,15.76,-36.0,68918,162.9,100
2021-2026,M2,False,24.58,-35.6,104604,81.6,100
2021-2026,M2,True,17.48,-35.6,74942,99.2,100
2021-2026,M3,False,9.05,-35.4,49098,152.7,81
2021-2026,M3,True,2.49,-35.5,34503,163.3,81
2021-2026,T1,False,8.73,-26.5,48279,4.4,81
2021-2026,T1,True,6.59,-28.3,43122,4.9,81
2021-2026,T2,False,15.92,-15.5,69464,2.3,78
2021-2026,T2,True,12.43,-19.0,58384,3.2,78
