Date,SPY,QQQ,EW,M1,M2,M3,T1,T2
2014,14.6,20.1,19.6,22.5,14.8,22.5,14.6,20.1
2015,1.2,9.4,4.1,9.5,1.2,4.2,-8.3,-3.8
2016,12.0,7.1,18.5,10.6,12.9,11.1,8.2,-2.2
2017,21.7,32.7,26.8,37.1,38.5,35.9,21.7,32.7
2018,-4.6,-0.1,-2.1,7.1,3.3,10.6,-6.4,11.5
2019,31.2,39.0,34.2,50.8,39.8,9.1,8.8,23.4
2020,18.3,48.4,19.8,49.3,52.1,51.0,19.2,27.1
2021,28.7,27.4,31.6,20.7,27.5,22.1,28.7,27.4
2022,-18.2,-32.6,-9.5,9.4,-3.3,-12.0,-21.0,-6.8
2023,26.2,54.9,25.9,44.3,37.7,23.5,8.5,37.4
2024,24.9,25.6,21.0,97.8,96.2,106.3,24.9,25.6
2025,17.7,20.8,16.3,60.0,65.3,27.0,12.2,9.9
2026,12.7,16.6,14.5,41.9,37.3,24.9,2.8,1.4
