Date,SPY,QQQ,EW,M1,M2,M3,T1,T2
2014,14.6,20.1,15.9,6.8,9.6,6.8,14.6,20.1
2015,1.2,9.4,-1.1,8.5,1.2,0.2,-8.3,-3.8
2016,12.0,7.1,14.7,9.7,8.0,3.4,8.2,-2.2
2017,21.7,32.7,21.6,23.3,28.2,22.8,21.7,32.7
2018,-4.6,-0.1,-6.6,-8.4,-2.7,-10.3,-6.4,11.5
2019,31.2,39.0,29.6,32.9,27.0,6.5,8.8,23.4
2020,18.3,48.4,10.0,12.5,16.2,19.3,19.2,27.1
2021,28.7,27.4,29.3,5.4,20.5,5.8,28.7,27.4
2022,-18.2,-32.6,-10.6,10.6,-0.3,-11.0,-21.0,-6.8
2023,26.2,54.9,15.8,15.7,13.0,-2.6,8.5,37.4
2024,24.9,25.6,12.6,39.6,44.1,36.3,24.9,25.6
2025,17.7,20.8,11.5,22.0,21.1,8.7,12.2,9.9
2026,12.7,16.6,13.4,50.7,46.3,19.3,2.8,1.4
