sym,entry,ret,excess,beta,maxday,n_flags,n_known,DILUTION,ASSET_BLOAT,LOSS,LOTTO
AAOI,2026-04-25,-0.32990072519002445,-0.4188135123168709,4.069575879071105,0.20335848868892548,4,4,True,True,True,True
ADEA,2026-04-25,-0.15452239619110786,-0.24343518331795433,1.9538746391439668,0.0432792470223049,0,4,False,False,False,False
ADI,2026-04-25,-0.03591568484191854,-0.12482847196876501,1.4628464887259112,0.05888517724806208,0,4,False,False,False,False
AEHR,2026-04-25,0.010634934877699065,-0.0782778522491474,4.535067282934876,0.25691541984899713,2,4,False,False,True,True
AGX,2026-04-25,-0.41740051099063935,-0.5063132981174858,1.4623023152023995,0.37914086055305596,1,4,False,False,False,True
ANDE,2026-04-25,-0.09547185246851397,-0.18438463959536044,0.5229236848963605,0.035992840198684206,1,4,False,False,True,False
ARWR,2026-04-25,-0.06927347439987808,-0.15818626152672455,1.779753829193449,0.08759755599995289,0,4,False,False,False,False
BTE,2026-04-25,0.026443843763208852,-0.06246894336363762,0.31358252434163214,0.041262213123186564,0,4,False,False,False,False
CAPR,2026-04-25,-0.7476609157068725,-0.836573702833719,2.2750157512291698,0.10705128432417443,4,4,True,True,True,True
CAT,2026-04-25,-0.015377295879669628,-0.1042900830065161,1.4952486160372087,0.06507097199218426,0,4,False,False,False,False
DOCN,2026-04-25,0.535132917420077,0.4462201302932305,2.266830731112796,0.1379488012739547,1,4,False,False,False,True
ECG,2026-04-25,-0.1417756964696415,-0.23068848359648797,2.3890479608157094,0.07403061776050923,1,4,False,False,False,True
FTI,2026-04-25,-0.04489973011828263,-0.1338125172451291,0.675823806365799,0.030617993113464692,0,4,False,False,False,False
GEV,2026-04-25,-0.17619930630746672,-0.2651120934343132,1.8170225480816393,0.1374559428182982,0,4,False,False,False,False
HAFN,2026-04-25,0.26314044142481907,0.1742276542979726,0.25411292553068415,0.0353403303705464,0,4,False,False,False,False
INDV,2026-04-25,0.06921454314608644,-0.019698243980760033,0.8652289107404705,0.05906875660290223,1,4,False,False,True,False
LITE,2026-04-25,0.08263006938833994,-0.006282717738506527,2.639363371663039,0.09840026911584432,2,4,False,False,True,True
LRCX,2026-04-25,0.12963232448014117,0.0407195373532947,2.538738391057699,0.09868511144210035,1,4,False,False,False,True
MRVL,2026-04-25,0.5668158212611991,0.47790303413435264,2.244711599210312,0.12800364008289145,1,4,False,False,False,True
MTZ,2026-04-25,-0.4073699968356228,-0.4962827839624693,1.6374218942287508,0.052125582333894194,0,4,False,False,False,False
NOK,2026-04-25,0.04588905740782012,-0.04302372971902635,0.8413291457821432,0.0961944866535498,0,4,False,False,False,False
